datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcdq,datacqtr,datafqtr,scfq,rdq,actq,apq,atq,cheq,cogsq,cshoq,dlcq,dlttq,dpq,gdwlq,invtq,ivstq,lctq,ltq,niitq,niq,oibdpq,piq,rectq,req,revtq,teqq,tieq,tiiq,txtq,uaptq,ugiq,unopincq,uopiq,xintq,xoprq,xrdq,xsgaq,capxy,cdvcy,dpcy,fincfy,ivncfy,oancfy,costat,dvpspq,gm_c,om_c,nm_c,le_c,cr_c,cfr_c,roa_c,rnd_c,cp_c
2004-12-31,2005,1,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2004Q4,2005Q1,7.0,2005-01-12,8322.0,1737.0,9362.0,6448.0,2453.0,404.549,0.0,0.0,41.0,80.0,156.0,,3224.0,3572.0,,295.0,444.0,429.0,1197.0,2962.0,3490.0,,,,134.0,,,,,0.0,3046.0,123.0,593.0,58.0,,41.0,254.0,-1523.0,775.0,A,0.0,0.297134670487106,0.12722063037249284,0.08452722063037249,0.0,2.5812655086848637,0.08278145695364239,0.0315103610339671,0.01313821832941679,0.00619525742362743
2005-03-31,2005,2,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2005Q1,2005Q2,7.0,2005-04-13,9007.0,1773.0,10111.0,7057.0,2235.0,823.137,0.0,0.0,41.0,80.0,164.0,,3352.0,3725.0,,286.0,438.0,430.0,1242.0,3261.0,3243.0,,,,144.0,,,,,0.0,2805.0,120.0,570.0,101.0,,82.0,406.0,-2432.0,1311.0,A,0.0,0.3108233117483811,0.13506012950971322,0.0881899475794018,0.0,2.6870525059665873,0.1296607655029176,0.02828602512115518,0.011868262288596578,0.009989120759568787
2005-06-30,2005,3,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2005Q2,2005Q3,7.0,2005-07-13,9376.0,1530.0,10488.0,7526.0,2430.0,827.981,0.0,0.0,46.0,80.0,193.0,,3123.0,3667.0,,319.0,472.0,472.0,1101.0,3584.0,3520.0,,,,153.0,,,,,0.0,3048.0,145.0,618.0,164.0,,128.0,469.0,-2127.0,1783.0,A,0.0,0.3096590909090909,0.1340909090909091,0.090625,0.0,3.0022414345180914,0.1700038138825324,0.03041571319603356,0.013825324180015256,0.015636918382913808
2005-09-30,2005,4,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2005Q3,2005Q4,7.0,2005-10-11,10300.0,1779.0,11551.0,8261.0,2592.0,835.019,0.0,0.0,51.0,69.0,165.0,,3484.0,4085.0,,428.0,468.0,477.0,1312.0,4005.0,3678.0,,,,49.0,,,,,0.0,3210.0,147.0,618.0,260.0,,179.0,543.0,-2556.0,2535.0,A,0.0,0.29526916802610115,0.1272430668841762,0.11636759108210984,0.0,2.9563719862227327,0.2194615184832482,0.03705306899835512,0.012726170894294866,0.02250887369058956
2005-12-31,2006,1,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2005Q4,2006Q1,7.0,2006-01-18,12162.0,2896.0,14181.0,8707.0,4133.0,845.617,0.0,0.0,52.0,69.0,244.0,,5060.0,5801.0,,565.0,802.0,831.0,2413.0,4565.0,5749.0,,,,266.0,,,,,0.0,4947.0,182.0,814.0,82.0,,52.0,283.0,93.0,283.0,A,0.0,0.2810923638893721,0.13950252217777004,0.09827796138458862,0.0,2.4035573122529645,0.01995627952894718,0.0398420421690995,0.01283407376066568,0.005782384881179043
2006-03-31,2006,2,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2006Q1,2006Q2,7.0,2006-04-19,11286.0,2108.0,13911.0,8226.0,3012.0,849.188,0.0,0.0,50.0,69.0,204.0,,4456.0,5229.0,,410.0,579.0,605.0,1984.0,4668.0,4359.0,,,,195.0,,,,,0.0,3780.0,176.0,768.0,275.0,,102.0,142.0,2555.0,158.0,A,0.0,0.30901582931865107,0.13282863041982107,0.09405827024546914,0.0,2.5327648114901256,0.011357918194234777,0.029473078858457336,0.012651858241679246,0.01976852850262382
2006-06-30,2006,3,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2006Q2,2006Q3,7.0,2006-07-19,12491.0,2513.0,15114.0,9176.0,2988.0,852.988,0.0,0.0,57.0,38.0,213.0,,5023.0,5784.0,,472.0,623.0,661.0,2094.0,5081.0,4370.0,,,,189.0,,,,,0.0,3747.0,175.0,759.0,512.0,,159.0,271.0,3086.0,1165.0,A,0.0,0.3162471395881007,0.1425629290617849,0.1080091533180778,0.0,2.486760899860641,0.07708085219002249,0.03122932380574302,0.011578668783908959,0.0338758766706365
2006-09-30,2006,4,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2006Q3,2006Q4,7.0,2006-10-18,14509.0,3390.0,17205.0,10110.0,3359.0,855.263,0.0,0.0,66.0,38.0,270.0,,6471.0,7221.0,,542.0,674.0,721.0,2845.0,5629.0,4837.0,,,,179.0,,,,,0.0,4163.0,179.0,804.0,657.0,,225.0,324.0,357.0,2220.0,A,0.0,0.3055612983254083,0.13934256770725656,0.112052925366963,0.0,2.2421573172616287,0.12903225806451613,0.03150247021214763,0.010403952339436211,0.03818657367044464
2006-12-31,2007,1,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2006Q4,2007Q1,7.0,2007-01-17,16664.0,3885.0,19461.0,11869.0,4821.0,860.22,0.0,0.0,74.0,38.0,303.0,4710.0,7337.0,8233.0,,1004.0,1396.0,1448.0,3113.0,6634.0,7115.0,,,,444.0,,,,,0.0,5719.0,184.0,898.0,142.0,,74.0,188.0,-1234.0,1813.0,A,0.0,0.3224174279690794,0.19620520028109628,0.14111033028812367,0.0,2.27122802235246,0.09316068033502903,0.05159036020759468,0.00945480704999743,0.007296644571193669
2007-03-31,2007,2,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2007Q1,2007Q2,7.0,2007-04-25,16029.0,2403.0,18711.0,12577.0,3346.0,864.693,0.0,0.0,69.0,38.0,208.0,5482.0,5485.0,6450.0,,770.0,1055.0,1134.0,1667.0,7413.0,5264.0,,,,364.0,,,,,0.0,4209.0,183.0,863.0,247.0,,143.0,368.0,-2212.0,2547.0,A,0.0,0.36436170212765956,0.20041793313069908,0.14627659574468085,0.0,2.922333637192343,0.13612313612313612,0.0411522633744856,0.009780343113676447,0.013200790978568756
2007-06-30,2007,3,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2007Q2,2007Q3,7.0,2007-07-25,18745.0,3660.0,21647.0,13767.0,3334.0,869.162,0.0,0.0,81.0,38.0,251.0,6649.0,6992.0,8243.0,,818.0,1122.0,1196.0,2901.0,8255.0,5410.0,,,,378.0,,,,,0.0,4288.0,208.0,954.0,530.0,,224.0,597.0,-3645.0,3774.0,A,0.0,0.3837338262476895,0.20739371534195933,0.15120147874306838,0.0,2.6809210526315788,0.1743428650621333,0.03778814616344066,0.009608721762830877,0.02448376218413637
2007-09-30,2007,4,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2007Q3,2007Q4,7.0,2007-10-22,21956.0,4970.0,25347.0,15386.0,4034.0,872.329,0.0,0.0,93.0,38.0,346.0,6034.0,9299.0,10815.0,,904.0,1153.0,1230.0,4029.0,9164.0,6217.0,,,,326.0,,,,,0.0,5064.0,207.0,1030.0,735.0,,317.0,739.0,-3249.0,5470.0,A,0.0,0.35113398745375585,0.18545922470645004,0.14540775293549943,0.0,2.361114098290139,0.21580463171183967,0.03566497021343749,0.008166646940466328,0.02899751449875725
2007-12-31,2008,1,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2007Q4,2008Q1,7.0,2008-01-22,26189.0,5366.0,30039.0,18448.0,6170.0,878.629,0.0,0.0,106.0,38.0,459.0,9286.0,10535.0,13235.0,,1581.0,2232.0,2326.0,4422.0,10758.0,9608.0,,,,745.0,,,,,0.0,7376.0,246.0,1206.0,224.0,,106.0,485.0,-3462.0,2787.0,A,0.0,0.35782681099084096,0.23230641132389676,0.1645503746877602,0.0,2.485904129093498,0.09277938679716369,0.05263157894736842,0.00818935384000799,0.007456972602283698
2008-03-31,2008,2,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2008Q1,2008Q2,7.0,2008-04-23,26736.0,4154.0,30471.0,19448.0,4922.0,881.431,0.0,0.0,116.0,38.0,364.0,10378.0,9634.0,12418.0,,1045.0,1431.0,1477.0,3620.0,11711.0,7512.0,,,,432.0,,,,,0.0,6081.0,273.0,1159.0,384.0,,222.0,562.0,-4824.0,3980.0,A,0.0,0.34478168264110753,0.19049520766773162,0.13911075612353568,0.0,2.7751712684243306,0.13061599553673986,0.03429490335072692,0.00895933838731909,0.012602146303042237
2008-06-30,2008,3,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2008Q2,2008Q3,7.0,2008-07-21,27998.0,3683.0,31709.0,20774.0,4747.0,885.747,0.0,0.0,117.0,38.0,545.0,11401.0,9218.0,12087.0,,1072.0,1509.0,1510.0,3245.0,12791.0,7464.0,,,,438.0,,,,,0.0,5955.0,292.0,1208.0,688.0,,339.0,916.0,-6196.0,5301.0,A,0.0,0.3640139335476956,0.20217041800643087,0.14362272240085744,0.0,3.037318290301584,0.16717651140054873,0.03380743637453089,0.00920874199754013,0.021697309912012363
2008-09-30,2008,4,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2008Q3,2008Q4,7.0,2008-10-21,34690.0,5520.0,39572.0,24490.0,5022.0,888.326,0.0,0.0,134.0,207.0,509.0,12615.0,14092.0,18542.0,,1136.0,1576.0,1582.0,4704.0,13853.0,7895.0,,,,446.0,,,,,0.0,6319.0,298.0,1297.0,1091.0,,473.0,1116.0,-8189.0,9596.0,A,0.0,0.36390120329322356,0.19962001266624446,0.14388853704876503,0.0,2.4616803860346295,0.24249469321742648,0.028707166683513596,0.007530577175780855,0.02756999898918427
2008-12-31,2009,1,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2008Q4,2009Q1,7.0,2009-01-21,35163.0,4715.0,42787.0,25647.0,7205.0,890.415,0.0,0.0,168.0,207.0,396.0,18411.0,14757.0,19878.0,,2255.0,3269.0,3259.0,3413.0,15517.0,11880.0,22909.0,,,1004.0,,,,,0.0,8611.0,315.0,1406.0,339.0,,158.0,62.0,-8639.0,3938.0,A,0.0,0.39351851851851855,0.2751683501683502,0.18981481481481483,0.0,2.3828013823947956,0.09203730104938417,0.05270292378526188,0.007362049220557646,0.007922967256409657
2009-03-31,2009,2,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2009Q1,2009Q2,7.0,2009-04-22,33853.0,3976.0,43237.0,25013.0,5276.0,891.912,0.0,0.0,181.0,207.0,312.0,20547.0,13751.0,18926.0,,1620.0,2504.0,2386.0,3036.0,16668.0,9084.0,24311.0,,,766.0,,,,,0.0,6580.0,319.0,1304.0,439.0,,330.0,136.0,-12324.0,4779.0,A,0.0,0.4191985909291061,0.2756494936151475,0.178335535006605,0.0,2.461857319467675,0.11053033281680043,0.03746790942942387,0.007377940190114948,0.01015334088859079
2009-06-30,2009,3,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2009Q2,2009Q3,7.0,2009-07-21,35170.0,4854.0,48140.0,24222.0,5569.0,895.735,0.0,0.0,182.0,207.0,380.0,18617.0,16661.0,22252.0,,1828.0,2814.0,2692.0,4180.0,17931.0,9734.0,25888.0,,,864.0,,,,,0.0,6920.0,341.0,1351.0,685.0,,506.0,344.0,-13663.0,7049.0,A,0.0,0.42788165194164784,0.2890897883706595,0.1877953564824327,0.0,2.1109177120220877,0.14642708766098878,0.0379725799750727,0.007083506439551308,0.014229331117573744
2009-09-30,2009,4,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2009Q3,2009Q4,7.0,2009-10-19,31555.0,5601.0,47501.0,23464.0,6899.0,899.806,0.0,0.0,203.0,206.0,455.0,18201.0,11506.0,15861.0,,2532.0,3887.0,3729.0,5057.0,23430.0,12207.0,31640.0,,,1197.0,,,,,0.0,8320.0,358.0,1421.0,1144.0,,734.0,663.0,-17434.0,10159.0,A,0.0,0.43483247317113133,0.3184238551650692,0.20742197100024576,0.0,2.7424821832087605,0.21386918170143787,0.053304140965453356,0.007536683438243406,0.024083703500978926
2009-12-31,2010,1,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2009Q4,2010Q1,7.0,2010-01-25,33332.0,6511.0,53926.0,24796.0,9063.0,906.282,0.0,0.0,209.0,253.0,576.0,17187.0,13097.0,18158.0,,3378.0,4934.0,4758.0,4881.0,26806.0,15683.0,35768.0,,,1380.0,,,,,0.0,10749.0,398.0,1686.0,376.0,,209.0,523.0,-3958.0,5781.0,A,0.0,0.4221131161129886,0.31460817445641776,0.21539246317668814,0.0,2.5450103077040542,0.1072024626339799,0.06264139747060787,0.007380484367466528,0.006972517894893002
2010-03-31,2010,2,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2010Q1,2010Q2,7.0,2010-04-20,32336.0,5666.0,57057.0,23155.0,7658.0,909.636,0.0,0.0,216.0,480.0,638.0,13137.0,12229.0,17709.0,,3074.0,4195.0,4029.0,4629.0,29795.0,13499.0,39348.0,,,955.0,,,,,0.0,9304.0,426.0,1646.0,650.0,,425.0,685.0,-4041.0,8111.0,A,0.0,0.4326987184235869,0.31076376027853914,0.22772057189421438,0.0,2.644206394635702,0.1421560895245106,0.05387594861279072,0.007466217992533782,0.01139211665527455
2010-06-30,2010,3,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2010Q2,2010Q3,7.0,2010-07-20,36033.0,8469.0,64725.0,24288.0,9291.0,913.482,0.0,0.0,273.0,714.0,942.0,14583.0,15612.0,21614.0,,3253.0,4507.0,4292.0,6399.0,32978.0,15700.0,43111.0,,,1039.0,,,,,0.0,11193.0,464.0,1902.0,1245.0,,698.0,1001.0,-9471.0,12912.0,A,0.0,0.4082165605095541,0.2870700636942675,0.20719745222929936,0.0,2.308032282859339,0.1994901506373117,0.05025878717651603,0.007168791039011201,0.019235225955967557
2010-09-30,2010,4,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2010Q3,2010Q4,7.0,2010-10-18,41678.0,12015.0,75183.0,25620.0,12502.0,915.97,0.0,0.0,329.0,741.0,1051.0,14359.0,20722.0,27392.0,,4308.0,5776.0,5461.0,9924.0,37123.0,20343.0,47791.0,,,1153.0,,,,,0.0,14567.0,494.0,2065.0,2005.0,,1027.0,1257.0,-13854.0,18595.0,A,0.0,0.38543970899080765,0.28393059037506757,0.2117681757852824,0.0,2.0112923462986196,0.24732984850298606,0.057300187542396554,0.006570634318928481,0.02666826277216924
2010-12-31,2011,1,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2010Q4,2011Q1,7.0,2011-01-18,43927.0,14301.0,86742.0,26977.0,16087.0,921.035,0.0,0.0,356.0,741.0,885.0,16243.0,23795.0,32076.0,,6004.0,8183.0,7963.0,10874.0,43164.0,26741.0,54666.0,,,1959.0,,,,,0.0,18558.0,575.0,2471.0,1214.0,,356.0,429.0,-10729.0,9773.0,A,0.0,0.39841441980479414,0.3060094985228675,0.22452413896264165,0.0,1.846060096658962,0.11266745060063175,0.0692167577413479,0.006628853381291646,0.01399552696502271
2011-03-31,2011,2,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,2011Q1,2011Q2,7.0,2011-04-20,46997.0,13714.0,94904.0,29234.0,14015.0,924.674,0.0,0.0,434.0,741.0,930.0,13256.0,24327.0,33427.0,,5987.0,8308.0,7900.0,11095.0,49151.0,24667.0,61477.0,,,1913.0,,,,,0.0,16359.0,581.0,2344.0,1838.0,,790.0,976.0,-12251.0,15992.0,A,0.0,0.4318320022702396,0.3368062593748733,0.24271293631167146,0.0,1.9318863813869362,0.16850712298743994,0.06308480148360449,0.0061219758914271265,0.01936693922279356
