iid,datadate,tic,cusip,conm,div,divd,anncdate,paydate,recorddate,cshoc,cshtrd,eps,prccd,prchd,prcld,prcod,cik,gind,gsector,gsubind
1,2005-01-03,AAPL,037833100,APPLE INC,,,,,,402058000.0,12375900.0,0.74,63.29,65.11,62.6,64.78,320193.0,452020,45,45202030
1,2005-01-04,AAPL,037833100,APPLE INC,,,,,,402058000.0,19604040.0,0.74,63.94,65.47,62.97,63.8,320193.0,452020,45,45202030
1,2005-01-05,AAPL,037833100,APPLE INC,,,,,,402058000.0,12153380.0,0.74,64.5,65.25,64.05,64.46,320193.0,452020,45,45202030
1,2005-01-06,AAPL,037833100,APPLE INC,,,,,,402058000.0,12599140.0,0.74,64.55,64.91,63.33,64.685,320193.0,452020,45,45202030
1,2005-01-07,AAPL,037833100,APPLE INC,,,,,,402058000.0,39915230.0,0.74,69.25,69.63,64.75,65.0,320193.0,452020,45,45202030
1,2005-01-10,AAPL,037833100,APPLE INC,,,,,,402058000.0,30844160.0,0.74,68.96,70.7,67.88,69.83,320193.0,452020,45,45202030
1,2005-01-11,AAPL,037833100,APPLE INC,,,,,,402058000.0,46688730.0,0.74,64.56,69.15,64.14,68.26,320193.0,452020,45,45202030
1,2005-01-12,AAPL,037833100,APPLE INC,,,,,,402058000.0,35017450.0,0.74,65.46,65.9,63.3,65.29,320193.0,452020,45,45202030
1,2005-01-13,AAPL,037833100,APPLE INC,,,,,,404549000.0,56572400.0,1.32,69.8,74.42,69.73,73.71,320193.0,452020,45,45202030
1,2005-01-14,AAPL,037833100,APPLE INC,,,,,,404549000.0,31625210.0,1.32,70.2,71.72,69.19,70.2,320193.0,452020,45,45202030
1,2005-01-18,AAPL,037833100,APPLE INC,,,,,,404549000.0,17988640.0,1.32,70.65,70.7,69.21,69.85,320193.0,452020,45,45202030
1,2005-01-19,AAPL,037833100,APPLE INC,,,,,,404549000.0,13438860.0,1.32,69.88,71.46,69.75,70.49,320193.0,452020,45,45202030
1,2005-01-20,AAPL,037833100,APPLE INC,,,,,,404549000.0,16340630.0,1.32,70.46,71.27,69.47,69.65,320193.0,452020,45,45202030
1,2005-01-21,AAPL,037833100,APPLE INC,,,,,,404549000.0,16283480.0,1.32,70.49,71.6,70.0,71.31,320193.0,452020,45,45202030
1,2005-01-24,AAPL,037833100,APPLE INC,,,,,,404549000.0,15065280.0,1.32,70.76,71.78,70.55,70.98,320193.0,452020,45,45202030
1,2005-01-25,AAPL,037833100,APPLE INC,,,,,,404549000.0,17323360.0,1.32,72.05,72.84,70.94,71.37,320193.0,452020,45,45202030
1,2005-01-26,AAPL,037833100,APPLE INC,,,,,,404549000.0,13290960.0,1.32,72.25,72.75,71.22,72.68,320193.0,452020,45,45202030
1,2005-01-27,AAPL,037833100,APPLE INC,,,,,,404549000.0,8863494.0,1.32,72.64,72.92,71.55,72.16,320193.0,452020,45,45202030
